2022-10-14 16:30:22.0409 RTP: time=[08:30:22:030] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58200, Time=1829410253
2022-10-14 16:30:22.0569 RTP: time=[08:30:22:042] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3734, Time=1532289258
2022-10-14 16:30:22.0569 RTP: time=[08:30:22:042] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3734, Time=1532289258
2022-10-14 16:30:22.0719 RTP: time=[08:30:22:056] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58201, Time=1829410413
2022-10-14 16:30:22.0719 RTP: time=[08:30:22:057] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58201, Time=1829410413
2022-10-14 16:30:22.0719 RTP: time=[08:30:22:057] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3735, Time=1532289418
2022-10-14 16:30:22.0719 RTP: time=[08:30:22:057] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3735, Time=1532289418
2022-10-14 16:30:22.0869 RTP: time=[08:30:22:072] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58202, Time=1829410573
2022-10-14 16:30:22.0869 RTP: time=[08:30:22:072] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58202, Time=1829410573
2022-10-14 16:30:22.1019 RTP: time=[08:30:22:086] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3736, Time=1532289578
