2022-10-14 16:30:10.4097 
2022-10-14 16:30:10.4097 ********** ParsePacket 5014@10.102.7.90/6C5E3B87C5C6 is now starting ... **********
2022-10-14 16:30:21.8620 ### 開始錄音(建立 CallRtp) => ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21
2022-10-14 16:30:22.2369 pktIndex=25, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58199, RecvRtpSeq=3733, System.Func`1[System.String]
2022-10-14 16:30:22.2519 pktIndex=26, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58199, RecvRtpSeq=3733, System.Func`1[System.String]
2022-10-14 16:30:22.2670 pktIndex=27, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58200, RecvRtpSeq=3733, System.Func`1[System.String]
2022-10-14 16:30:22.2819 pktIndex=28, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58200, RecvRtpSeq=3733, System.Func`1[System.String]
2022-10-14 16:30:22.2969 pktIndex=29, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58200, RecvRtpSeq=3734, System.Func`1[System.String]
2022-10-14 16:30:22.3119 pktIndex=30, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58200, RecvRtpSeq=3734, System.Func`1[System.String]
2022-10-14 16:30:22.3119 pktIndex=31, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58201, RecvRtpSeq=3734, System.Func`1[System.String]
2022-10-14 16:30:22.3419 pktIndex=32, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58201, RecvRtpSeq=3734, System.Func`1[System.String]
2022-10-14 16:30:22.3569 pktIndex=33, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58201, RecvRtpSeq=3735, System.Func`1[System.String]
2022-10-14 16:30:22.3720 pktIndex=34, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58201, RecvRtpSeq=3735, System.Func`1[System.String]
