2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:48.0005 pktIndex=27, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7287, RecvRtpSeq=4584, System.Func`1[System.String]
2022-10-14 17:02:48.0165 pktIndex=28, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7287, RecvRtpSeq=4584, System.Func`1[System.String]
2022-10-14 17:02:48.0315 pktIndex=29, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7287, RecvRtpSeq=4585, System.Func`1[System.String]
2022-10-14 17:02:48.0465 pktIndex=30, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7287, RecvRtpSeq=4585, System.Func`1[System.String]
2022-10-14 17:02:48.0615 pktIndex=31, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7288, RecvRtpSeq=4585, System.Func`1[System.String]
2022-10-14 17:02:48.0615 pktIndex=32, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7288, RecvRtpSeq=4585, System.Func`1[System.String]
2022-10-14 17:02:48.0915 pktIndex=33, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7288, RecvRtpSeq=4586, System.Func`1[System.String]
2022-10-14 17:02:48.1065 pktIndex=34, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7288, RecvRtpSeq=4586, System.Func`1[System.String]
2022-10-14 17:02:48.1215 pktIndex=35, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7289, RecvRtpSeq=4586, System.Func`1[System.String]
2022-10-14 17:02:48.1365 pktIndex=36, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7289, RecvRtpSeq=4586, System.Func`1[System.String]
2022-10-14 17:02:48.1515 pktIndex=37, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7289, RecvRtpSeq=4587, System.Func`1[System.String]
2022-10-14 17:02:48.1665 pktIndex=38, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7289, RecvRtpSeq=4587, System.Func`1[System.String]
2022-10-14 17:02:48.1815 pktIndex=39, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7290, RecvRtpSeq=4587, System.Func`1[System.String]
2022-10-14 17:02:48.1965 pktIndex=40, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7290, RecvRtpSeq=4587, System.Func`1[System.String]
2022-10-14 17:02:48.2115 pktIndex=41, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7290, RecvRtpSeq=4588, System.Func`1[System.String]
2022-10-14 17:02:48.2265 pktIndex=42, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7290, RecvRtpSeq=4588, System.Func`1[System.String]
2022-10-14 17:02:48.2416 pktIndex=43, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7291, RecvRtpSeq=4588, System.Func`1[System.String]
2022-10-14 17:02:48.2565 pktIndex=44, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7291, RecvRtpSeq=4588, System.Func`1[System.String]
