2022-10-14 17:02:47.8197 RTP: time=[09:02:47:819] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4585, Time=2744466137
2022-10-14 17:02:47.8351 RTP: time=[09:02:47:819] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4585, Time=2744466137
2022-10-14 17:02:47.8351 RTP: time=[09:02:47:820] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7288, Time=1695328365
2022-10-14 17:02:47.8351 RTP: time=[09:02:47:820] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7288, Time=1695328365
2022-10-14 17:02:47.8505 RTP: time=[09:02:47:835] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4586, Time=2744466297
2022-10-14 17:02:47.8505 RTP: time=[09:02:47:835] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4586, Time=2744466297
2022-10-14 17:02:47.8505 RTP: time=[09:02:47:850] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7289, Time=1695328525
2022-10-14 17:02:47.8655 RTP: time=[09:02:47:850] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7289, Time=1695328525
2022-10-14 17:02:47.8655 RTP: time=[09:02:47:851] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4587, Time=2744466457
2022-10-14 17:02:47.8655 RTP: time=[09:02:47:851] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4587, Time=2744466457
